map,v1,Nivoix Olivier
19,21
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,
1,0,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,0,1,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,0,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,0,1,
1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,
1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,
0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,
1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,1,
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,
1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,
0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,
1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,
1,0,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,0,1,
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,
1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,
1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,
1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
